"%s Item(s)","%s article(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Boutique de démo Magento. Tous droits réservés."
"(ver. %s)","(ver. %s)"
"Click <a href=""%s"">here</a> if nothing has happened","Cliquez <a href=""%s"">ici</a> si rien ne se passe"
"Close Window","Fermer la fenêtre"
"Copyright","Copyright"
"Default Description","Description par défaut"
"Default Keywords","Mots-clés par défaut"
"Default Robots","Robots par défaut"
"Default Title","Titre par défaut"
"Default welcome msg!","Message d'accueil par défaut"
"Footer","Pied de page"
"HTML Head","En-tête HTML"
"Header","En-tête"
"Help Us to Keep Magento Healthy","Aidez-nous à maintenir Magento"
"Interface Language","Langage de l'interface"
"Items %s to %s of %s total","Articles <strong>%s</strong> à <strong>%s</strong> sur un total de <strong>%s</strong>"
"Logo Image Alt","Texte alternatif du logo"
"Logo Image Src","Source du logo"
"Magento Commerce Demo Store","Boutique de démo Magento Commerce"
"Next Page","Page suivante"
"Page:","Page :"
"Previous Page","Page précédente"
"Redirecting...","En cours de redirection..."
"Report All Bugs","Signalez les bugs"
"Select Store","Choisir un magasin"
"Show","Afficher"
"Skip to Main Content","Passer au contenu principal"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ceci est une boutique de démonstration. Aucune commande passée sur cette boutique ne sera honorée."
"Title Prefix","Préfixe du titre"
"Title Suffix","Suffixe du titre"
"Welcome Text","Texte de bienvenue"
"Welcome, %s!","Bienvenue, %s !"
"You're currently on:","Vous êtes actuellement sur :"
"Your Language","Langue"
"Your Language:","Votre langue :"
"per page","par page"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento est une marque déposée de Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
